conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/5d0cc30d-068a-424c-8463-f42872a7149e,2423.1,Consultor de carreiras profissionais/Consultora de carreiras profissionais,0.0
Occupation,http://data.europa.eu/esco/occupation/e4112a88-973f-4c7a-97f5-2241e6b6833f,2423.2,Técnico de inserção profissional/Técnica de inserção profissional,0.0
Occupation,http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,2423.3,Técnico de recursos humanos/Técnica de recursos humanos,0.0
Occupation,http://data.europa.eu/esco/occupation/20b9f370-6b56-4679-8c06-c23b866a5bd0,2423.4,Técnico de relações laborais/Técnica de relações laborais,0.0
Occupation,http://data.europa.eu/esco/occupation/6d03eaef-1ce5-4a1e-bb41-0908e1af1b65,2423.5,Analista de profissões,0.0
Occupation,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,2423.6,Consultor de recrutamento e seleção/Consultora de recrutamento e seleção,0.0
Occupation,http://data.europa.eu/esco/occupation/1fce1be0-bf52-449b-9a2b-3f2cc710290a,2423.7,analista de compensação,0.0344827586206896
ISCO level 4,http://data.europa.eu/esco/isco/C2423,2423,Especialistas em recursos humanos,0.004926108374384229
Occupation,http://data.europa.eu/esco/occupation/d9612966-e295-4d81-ba2b-9f36bad0b392,2424.1,Coach profissional,0.0
Occupation,http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e,2424.2,Especialista em formação de recursos humanos,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2424,2424,Especialistas em formação e desenvolvimento de recursos humanos,0.0
ISCO level 3,http://data.europa.eu/esco/isco/C243,243,"Especialistas de vendas, marketing e relações públicas",0.025082451844668053
Occupation,http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b,2431.1,Copywriter de publicidade,0.0
Occupation,http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e,2431.2,Comprador de espaços publicitários/Compradora de espaços publicitários,0.0
Occupation,http://data.europa.eu/esco/occupation/e01719f4-d7dd-42fe-b504-93128520f84a,2431.3,Especialista em publicidade,0.0
Occupation,http://data.europa.eu/esco/occupation/de80bbf0-447d-4a6a-845a-fdba4e0dc30c,2431.4,Gestor de marca/Gestora de marca,0.0232558139534883
